Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-05-01,12:04:11,28.8089,116.066
2024-05-01,13:55:32,7.2073,24.77
2024-05-01,14:54:53,35.8671,185.482
2024-05-01,15:31:55,32.5332,164.895
2024-05-01,16:05:38,56.5753,269.808
2024-05-01,17:46:52,2.8062,9.029
2024-05-02,08:03:55,45.271,164.856
2024-05-02,16:02:29,5.7906,34.545
2024-05-05,16:55:56,76.5601,236.863
2024-05-08,00:59:12,3.34,25.262
2024-05-08,11:15:27,30.3794,178.692
2024-05-08,12:33:07,19.9953,106.22
2024-05-08,15:00:27,9.8478,59.845
2024-05-08,23:20:33,8.7582,66.653
2024-05-09,05:58:49,4.4072,30.535
2024-05-11,19:21:42,9.9242,68.276
2024-05-13,10:21:33,6.9841,25.643
2024-05-14,12:30:01,5.58,34.317
2024-05-14,16:42:44,8.9679,66.478
2024-05-14,17:20:14,5.2597,32.472
2024-05-15,10:01:59,176.1209,1223.248
2024-05-15,12:59:02,156.1975,835.62
2024-05-15,19:33:16,4.0181,22.462
2024-05-16,10:24:09,81.4005,481.081
2024-05-17,10:13:01,150.6257,1049.916
2024-05-17,19:42:46,40.3595,263.236
2024-05-18,09:01:09,4.8128,35.299
2024-05-18,12:00:26,3.5444,29.664
2024-05-19,10:26:42,25.4049,64.174
2024-05-20,09:02:52,3.5846,11.932
2024-05-21,10:41:50,2.5288,1.991
2024-05-21,12:32:18,13.5111,120.206
2024-05-23,11:16:25,3.1255,12.534
2024-05-23,20:00:21,10.3302,74.272
2024-05-26,07:31:07,2.7416,8.809
2024-05-27,01:49:53,4.7839,20.117
2024-05-27,02:45:39,3.1417,12.542
2024-05-29,09:49:12,141.1123,842.749
2024-05-29,12:17:43,39.424,149.111
2024-05-29,13:06:35,2.3082,11.33
2024-05-29,14:22:58,4.632,32.926
2024-05-29,15:06:49,7.8892,36.001
2024-05-29,15:38:25,62.5378,339.045
2024-05-30,09:29:37,44.3901,217.793
2024-05-30,10:14:55,10.0164,61.992
